"Rec";"Ass";"Rule";"size";"risk";"med.size";"med.all";"me";"rmse";"cv";"Rule.label"
"REClow";"ASSss3";"HCR8";3500;"1";0.0487;0.04848;0.000136571428571427;0.00167357664166007;0.034482027653068;"HCR40"
"REClow";"ASSss3";"HCR8";3500;"2";0.224142857142857;0.224;0.000131428571428566;0.00576151907406513;0.0258287639265205;"HCR40"
"REClow";"ASSss3";"HCR8";3500;"3";0.0557142857142857;0.0537;0.00192857142857143;0.00331960779586495;0.0488155364813671;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"1";0.048525;0.04848;-8.25000000000215e-06;0.00143446462138318;0.0297424241010352;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"2";0.222875;0.224;-0.000425000000000001;0.0049829710013204;0.0223183518128332;"HCR40"
"REClow";"ASSss3";"HCR8";4000;"3";0.055125;0.0537;0.0013;0.00264740438920842;0.0421429081804876;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"1";0.0487;0.04848;0.000131555555555553;0.00146755461336533;0.0302193523556622;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"2";0.224222222222222;0.224;0.000233333333333329;0.00500542915119716;0.0224104801623598;"HCR40"
"REClow";"ASSss3";"HCR8";4500;"3";0.0553333333333333;0.0537;0.00138444444444445;0.00258636978059506;0.0398595102748407;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"1";0.04834;0.04848;-0.000194600000000002;0.0011309836426757;0.0231898023279611;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"2";0.2237;0.224;-0.000786000000000004;0.00429944182423719;0.0190323186927608;"HCR40"
"REClow";"ASSss3";"HCR8";5000;"3";0.0548;0.0537;0.001042;0.00206213481615534;0.0326708786661609;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"1";0.0486090909090909;0.04848;0.000134545454545452;0.000872852263776731;0.0178293328026147;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"2";0.223636363636364;0.224;9.09090909090857e-05;0.00342204810356904;0.0153423176981922;"HCR40"
"REClow";"ASSss3";"HCR8";5500;"3";0.055;0.0537;0.00104909090909091;0.00191366119612478;0.0293801021276402;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"1";0.0485583333333333;0.04848;6.23333333333312e-05;0.000861909379098393;0.0177985514920612;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"2";0.223916666666667;0.224;0.000126666666666662;0.00311091269208536;0.0139385113775787;"HCR40"
"REClow";"ASSss3";"HCR8";6000;"3";0.0543333333333333;0.0537;0.000805000000000002;0.00166297925423019;0.0268321334035936;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"1";0.0484076923076923;0.04848;-0.000126615384615387;0.000853229437708745;0.0175382425217106;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"2";0.223692307692308;0.224;-0.000447692307692312;0.00300126206194945;0.0133419968099858;"HCR40"
"REClow";"ASSss3";"HCR8";6500;"3";0.0541538461538462;0.0537;0.000572307692307695;0.00143164158682825;0.0243012407399712;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"1";0.0485;0.04848;-6.42857142857167e-05;0.000807887141037077;0.0167173505517121;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"2";0.224142857142857;0.224;6.28571428571376e-05;0.00298745677109873;0.0133973224815255;"HCR40"
"REClow";"ASSss3";"HCR8";7000;"3";0.0542857142857143;0.0537;0.000575714285714288;0.00153573754135216;0.0263638189522095;"HCR40"
"REClow";"ASSss3";"HCR8";7500;"1";0.0485933333333333;0.04848;0.000107199999999998;0.000703482132758971;0.0143817498105631;"HCR40"
"REClow";"ASSss3";"HCR8";7500;"2";0.2242;0.224;0.000275999999999995;0.00243686501700671;0.0108499444048012;"HCR40"
"REClow";"ASSss3";"HCR8";7500;"3";0.0542666666666667;0.0537;0.000824000000000002;0.00146398239212241;0.022305144711537;"HCR40"
"REClow";"ASSss3";"HCR8";8000;"1";0.04851875;0.04848;2.34999999999978e-05;0.000543673270448346;0.011254889047051;"HCR40"
"REClow";"ASSss3";"HCR8";8000;"2";0.224375;0.224;0.000141249999999992;0.00196687410629151;0.00879659062283027;"HCR40"
"REClow";"ASSss3";"HCR8";8000;"3";0.05425;0.0537;0.000461250000000002;0.00099751253124961;0.0164125004318633;"HCR40"
"REClow";"ASSss3";"HCR8";8500;"1";0.0484705882352941;0.04848;5.29411764705646e-06;0.000461558965031221;0.00956689458803816;"HCR40"
"REClow";"ASSss3";"HCR8";8500;"2";0.223882352941176;0.224;3.88235294117603e-05;0.00176693976257468;0.00792457544331805;"HCR40"
"REClow";"ASSss3";"HCR8";8500;"3";0.0542352941176471;0.0537;0.000535294117647061;0.00106483587116792;0.0170580011731462;"HCR40"
"REClow";"ASSss3";"HCR8";9000;"1";0.0484444444444444;0.04848;-1.35555555555578e-05;0.00035152366760844;0.00728404573337579;"HCR40"
"REClow";"ASSss3";"HCR8";9000;"2";0.223888888888889;0.224;-0.000234444444444448;0.00137504208689798;0.00608553934867764;"HCR40"
"REClow";"ASSss3";"HCR8";9000;"3";0.0538888888888889;0.0537;0.000241111111111113;0.000782351630709667;0.013867356625037;"HCR40"
"REClow";"ASSss3";"HCR8";9500;"1";0.0485368421052632;0.04848;6.94736842105054e-06;0.000278688658579879;0.00577486542809091;"HCR40"
"REClow";"ASSss3";"HCR8";9500;"2";0.224157894736842;0.224;1.89473684210481e-05;0.00097979589711327;0.00439493085922907;"HCR40"
"REClow";"ASSss3";"HCR8";9500;"3";0.0538947368421053;0.0537;0.00020105263157895;0.000474087547579647;0.00800555098472482;"HCR40"
"REClow";"ASSss3";"HCR8";10000;"1";0.04848;0.04848;0;0;0;"HCR40"
"REClow";"ASSss3";"HCR8";10000;"2";0.224;0.224;0;0;0;"HCR40"
"REClow";"ASSss3";"HCR8";10000;"3";0.0537;0.0537;0;0;0;"HCR40"
"REClow";"ASSss3";"HCR9";500;"1";0.056;0.05597;0.000378000000000001;0.00522181769118762;0.0928933736061728;"HCR45"
"REClow";"ASSss3";"HCR9";500;"2";0.252;0.2521;0.00108000000000001;0.0196258503000507;0.0777898469491652;"HCR45"
"REClow";"ASSss3";"HCR9";500;"3";0.072;0.0642;0.00778000000000001;0.0119836555357704;0.12726757202133;"HCR45"
"REClow";"ASSss3";"HCR9";1000;"1";0.0555;0.05597;-0.000641999999999999;0.00365195564047539;0.0653049731872611;"HCR45"
"REClow";"ASSss3";"HCR9";1000;"2";0.2495;0.2521;-0.00230999999999999;0.0132416766310011;0.0524613366333438;"HCR45"
"REClow";"ASSss3";"HCR9";1000;"3";0.067;0.0642;0.00218000000000001;0.00574699921698272;0.0805102303614402;"HCR45"
"REClow";"ASSss3";"HCR9";1500;"1";0.0559;0.05597;2.06666666666678e-05;0.00311079589672982;0.055837851225459;"HCR45"
"REClow";"ASSss3";"HCR9";1500;"2";0.252;0.2521;-0.000593333333333323;0.0113862392581767;0.0454383715977522;"HCR45"
"REClow";"ASSss3";"HCR9";1500;"3";0.0656666666666667;0.0642;0.00174000000000001;0.00531806146803305;0.0765949393437498;"HCR45"
"REClow";"ASSss3";"HCR9";2000;"1";0.0563;0.05597;6.45000000000012e-05;0.00236998839659607;0.0424924944645246;"HCR45"
"REClow";"ASSss3";"HCR9";2000;"2";0.252;0.2521;-0.000734999999999989;0.00789901892642371;0.0314457861492344;"HCR45"
"REClow";"ASSss3";"HCR9";2000;"3";0.0655;0.0642;0.00182500000000001;0.00490535421758715;0.0693095826363368;"HCR45"
"REClow";"ASSss3";"HCR9";2500;"1";0.0561;0.05597;-1.67999999999988e-05;0.00214829327606824;0.0385867110267202;"HCR45"
"REClow";"ASSss3";"HCR9";2500;"2";0.2528;0.2521;0.000164000000000006;0.00751970744111764;0.029951926344293;"HCR45"
"REClow";"ASSss3";"HCR9";2500;"3";0.065;0.0642;0.000800000000000007;0.00363472144737393;0.0548223204623029;"HCR45"
"REClow";"ASSss3";"HCR9";3000;"1";0.056;0.05597;3.66666666666772e-06;0.00190393102115947;0.0341860599701027;"HCR45"
"REClow";"ASSss3";"HCR9";3000;"2";0.253;0.2521;0.00049000000000001;0.00642960168111352;0.0255085315504847;"HCR45"
"REClow";"ASSss3";"HCR9";3000;"3";0.0651666666666667;0.0642;0.000926666666666673;0.00361115555528206;0.0538614568759255;"HCR45"
"REClow";"ASSss3";"HCR9";3500;"1";0.0562;0.05597;0.00014857142857143;0.00170654143620054;0.0304467198203194;"HCR45"
"REClow";"ASSss3";"HCR9";3500;"2";0.252428571428571;0.2521;0.000231428571428582;0.00638832161535598;0.0254280268366846;"HCR45"
