period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
all,ASSnone_HCR13_REClow_INNvar_OERnone,ASSnone,HCR13,REClow,INNvar,OERnone,3046591.508,6993206.593,15934373,7640899.042,7036466.562,0.70178,1,0.746,0.00274,0.09,0.008,0.50002,0.02408,0.08928,1.00E-04,0.01926
all,ASSnone_HCR13_REClowmed_INNvar_OERnone,ASSnone,HCR13,REClowmed,INNvar,OERnone,4418902.845,12323536.3,34040471.24,14113723.01,12440812.66,0.01904,0.407,0.162,4.00E-05,0.002,0.001,0.85882,0.30802,0.49866,0.02392,0.27862
all,ASSnone_HCR13_RECmix_INNvar_OERnone,ASSnone,HCR13,RECmix,INNvar,OERnone,4091297.476,11678582.88,33425304.98,13484286.1,12023364.74,0.10068,0.519,0.319,0.00038,0.011,0.002,0.82274,0.28036,0.45954,0.02176,0.25308
all,ASSnone_HCR14_REClow_INNvar_OERnone,ASSnone,HCR14,REClow,INNvar,OERnone,3047332.904,6993206.593,15934373,7640923.949,7036466.562,0.6874,1,0.733,0.00262,0.086,0.008,0.50002,0.02408,0.08928,1.00E-04,0.01926
all,ASSnone_HCR14_REClowmed_INNvar_OERnone,ASSnone,HCR14,REClowmed,INNvar,OERnone,4420656.186,12325735.03,34050806.66,14118452.63,12440812.66,0.01562,0.349,0.162,2.00E-05,0.001,0.001,0.85896,0.30826,0.49884,0.02392,0.27874
all,ASSnone_HCR14_RECmix_INNvar_OERnone,ASSnone,HCR14,RECmix,INNvar,OERnone,4131344.843,11767623.25,33497084.75,13572369.01,12132795.96,0.08672,0.476,0.319,0.00026,0.007,0.002,0.82796,0.28412,0.46492,0.02206,0.2566
all,ASSnone_HCR7_REClow_INNvar_OERnone,ASSnone,HCR7,REClow,INNvar,OERnone,3047801.339,6993471.07,15934373,7641773.448,7037890.162,0.29988,0.998,0.385,2.00E-05,0.001,0.001,0.5001,0.02408,0.0893,1.00E-04,0.01928
all,ASSnone_HCR7_REClowmed_INNvar_OERnone,ASSnone,HCR7,REClowmed,INNvar,OERnone,4427750.157,12336455.04,34102909.38,14131424.09,12443920.03,0.00522,0.177,0.162,0,0,0,0.85952,0.30892,0.49954,0.02404,0.2793
all,ASSnone_HCR7_RECmix_INNvar_OERnone,ASSnone,HCR7,RECmix,INNvar,OERnone,4322258.274,12162039.61,33889023.64,13967975.44,12440812.66,0.0262,0.333,0.319,0,0,0,0.85052,0.30166,0.48914,0.02342,0.27276
all,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,3046591.508,6993206.593,15934373,7640885.206,7036466.562,0.7085,1,0.754,0.00282,0.093,0.008,0.50002,0.02408,0.08928,1.00E-04,0.01926
all,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,4411994.286,12318203.42,34030129.28,14108698.88,12440812.66,0.02328,0.474,0.162,4.00E-05,0.002,0.001,0.85866,0.30782,0.49838,0.02388,0.2784
